artist,lot,address,image,title,date,type,size,estimate_price,hammer_price,auction_house
/artist/8595/marlene-dumas/,334,/artist/8595/marlene-dumas/drawing-watercolor/18771492/mother-child-exposed?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/MTA3NTAwMDA0NDg0ODI0OTEt/ODA2MzQ2MjU2NjQ2NjM4Mzk3MjEt/MjExNzMwOTEwNDE4MzAxMDAzMy0=/sml,Mother + child exposed,(1990),"Drawing-Watercolor, Ink,","11 5/8 , 9 1/4","33894,39543",,"Dorotheum,Austria"
/artist/8595/marlene-dumas/,610,/artist/8595/marlene-dumas/print-multiple/18711285/amy-back-to-amy-winehouse-i-said-i-get-no-idea-amy-back-to?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/Njg2OTAwNzc0NzY5ODM4MzIxLQ==/NzI0MTczNjE1NTY3MTcwMDk0MTEt/Nzk5NTc3NDg5MTgzODE5NzU0MjEt/sml,"Amy - Back to (Amy Winehouse) I Said ""I Get No Idea"", Amy-Bac
                ...",(2015),"Print-Multiple, Print,","15 3/4 , 18 1/2","2012,3018",1811,"Germann Auktionshaus,Switzerland"
/artist/8595/marlene-dumas/,12,/artist/8595/marlene-dumas/photography/18794199/united-europe-not-going-to-teel-you-where-i-come-from-nor-where-i-am-going-to?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/NzEyNDYwNjk3NjEzOTY2OTIxLQ==/MDY5NDU1NTM3NDQ3MDQ4MTAxMS0=/ODg0NDM3NDI5NjQyMzE2ODg3MzEt/sml,"United Europe, 'Not going to teel you where I come from, nor 
                ...",(2005),"Photography, Pigment print,","14 5/8 , 11","3791,6318",,"Simon de Pury,United Kingdom"
/artist/8595/marlene-dumas/,804,/artist/8595/marlene-dumas/print-multiple/18710775/barbie-with-pearl-necklace?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/Njg1ODc4Mzk1MzQ3MTQ2MzIxLQ==/MTk0NjczMTE1NzgwNjY2ODgwMy0=/NDU1MTEzNjMzMDI2NzA5MDkwNy0=/sml,Barbie (with pearl necklace),(1997),"Print-Multiple, Lithograph in colors,","19 5/8 , 15","4463,5579",7253,"Lempertz,Germany"
/artist/8595/marlene-dumas/,1016,/artist/8595/marlene-dumas/drawing-watercolor/18649182/cultivated-emotion?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/NDk1Mzg0Mzg5NDA2NDc3ODgt/NzQ5MDczNzI1MjMwMjUxNTg4MTEt/MzA2MTc2NDA3MzIxNTMyOTY3NC0=/sml,Cultivated Emotion,(1986),"Drawing-Watercolor, Watercolour,","8 7/8 , 10 7/8","6697,8930",8372,"Van Ham Kunstauktionen,Germany"
/artist/8595/marlene-dumas/,1017,/artist/8595/marlene-dumas/drawing-watercolor/18649185/you-could-ask-yourself-would-jesus-have-done-the-sametitle?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/ODU5OTI0NDE5NzE3MjcxNDUxLQ==/ODM3NTAwNTIxNDEzMjQyODgyMzEt/MDU3NTAwMDUxMjk4MDA2NTk4LQ==/sml,You could ask yourself would - Jesus have done the same?,(1994),"Drawing-Watercolor, Mixed media/paper,","11 , 9 5/8","6698,8930",10047,"Van Ham Kunstauktionen,Germany"
/artist/8595/marlene-dumas/,1018,/artist/8595/marlene-dumas/drawing-watercolor/18649188/mother-baby?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/ODQ4MDkwODc5NzA5MDUwMjUxLQ==/OTMzMDE5MzQ2MTc2ODY2MzA4NDEt/NjA3MzY2Mzk1MTI5Mzk5MDY0OS0=/sml,« Mother + baby »,(1989),"Drawing-Watercolor, Watercolour/paper,","11 3/4 , 8 1/4","4465,6698",6698,"Van Ham Kunstauktionen,Germany"
/artist/8595/marlene-dumas/,1019,/artist/8595/marlene-dumas/drawing-watercolor/18649191/ohne-titel?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/NTk2NTEzMzQxNTc3NjE5NjAxLQ==/Mzk3NDM3NzAxNTk1Mzk3NTAzNi0=/MDg1MzE2MjE0MDM2ODA4ODIzMS0=/sml,Ohne Titel,(1991),"Drawing-Watercolor, Watercolour/paper,","10 7/8 , 7 5/8","4465,6698",6698,"Van Ham Kunstauktionen,Germany"
/artist/8595/marlene-dumas/,317,/artist/8595/marlene-dumas/print-multiple/18690180/the-magic-gardens-exotische-dood?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/MjM4NTM4OTUxMDkxOTY4MjQt/NjkxMTU1ODkwODcwNDUxNjY5MDEt/MjEwNjIwNDMxMzI2ODkxMTgyMy0=/sml,The Magic Gardens. Exotische dood,(1984),"Print-Multiple, Lithograph in colors,","10 3/8 , 15","780,1114",613,"Adams Amsterdam Auctions,Netherlands"
/artist/8595/marlene-dumas/,318,/artist/8595/marlene-dumas/print-multiple/18690186/magdalena?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/MDU5NjAwNjkyMjQ5NTM2MDEt/MjI2ODI4OTk1NTY3OTc3ODk1My0=/MzA5OTAwNzQ0MTI5MjA5NzI4NC0=/sml,Magdalena,(1995),"Print-Multiple, Lithograph in colors,","19 1/4 , 14 3/4","2232,3348",2679,"Adams Amsterdam Auctions,Netherlands"
/artist/8595/marlene-dumas/,319,/artist/8595/marlene-dumas/print-multiple/18690189/supermodel?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/MzExNzg2NDQzMDAyMjYwNjUt/MTYzNDczMzQ5MjU3NTI2Mzk1Mi0=/MDU1MTI2NTI1NDUwNzI2ODU4LQ==/sml,Supermodel,(1995),"Print-Multiple, Lithograph in colors,","25 5/8 , 21 5/8","7813,11162",8372,"Adams Amsterdam Auctions,Netherlands"
/artist/8595/marlene-dumas/,320,/artist/8595/marlene-dumas/print-multiple/18690192/portrait-of-a-young-nelson-mandela-would-you-trust-this-man-with-your-daughtertitle?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/MzUzMDYwMTQxMDE0ODk0MzYt/MTcxMTE5MjAyODYxNzQ4NDE3Mi0=/ODc5NzgwMjQ2MTAwNDkxNjA3MzEt/sml,"Portrait of a young Nelson Mandela. 'Would you trust this man
                ...",(2008),"Print-Multiple, Offset lithograph in colors,","17 3/4 , 13 3/4","4464,5580",2902,"Adams Amsterdam Auctions,Netherlands"
/artist/8595/marlene-dumas/,204,/artist/8595/marlene-dumas/print-multiple/18623403/the-fog-of-war?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/Nzc0NTY0NDE0OTIyMDQ1ODMxLQ==/MjA2OTgyMjgxNjg4NDg5MzgyMy0=/ODMwMjE2NTIyMTg1NDczODI5MjEt/sml,The Fog of War,,"Print-Multiple, Digital print,","17 3/4 , 14","8343,11124",,"Strauss & Co,South Africa"
/artist/8595/marlene-dumas/,508,/artist/8595/marlene-dumas/painting/18533073/dancer?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/MTU4MjcxNTMwNjI3NjYxODIt/NzQ5MTY0Mjk0MzMwMDg1Njg4MTEt/NTg3NDIyMzI0MDUxNTU5NjQxOS0=/sml,"""Dancer""",(1999),"Painting, Oil/canvas,","21 5/8 , 15 7/8","600000,800000",570000,"Sotheby's,United States"
